Released,Members,Quest item,Tradeable,Equipable,Stackable,Options,Destory,Examine,Value,High alch,Low alch,Weight,Price,Buy limit,Daily volume,Combat,Skilling,Food,Untradeable,Quest
15 August 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Colourful.,20 coins,12 coins,8 coins,0.005 kg,817 coins (info),150,15,1,0,0,0,0
2 August 2004 (Update),No,No,No,Yes,No,Wear,Drop,A mime would wear this.,1 coin,0 coins,0 coins,0.001 kg,None,None,None,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A series of connected metal rings.,1950 coins,1170 coins,780 coins,5.896 kg,1103 coins (info),125,3940,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection.,5200 coins,3120 coins,2080 coins,8.618 kg,2733 coins (info),125,203380,1,0,0,0,0
12 June 2014 (Update),No,No,Yes,Yes,No,Wear,Drop,Mithril platebody with gold trim.,5200 coins,3120 coins,2080 coins,9.979 kg,5046 coins (info),8,76,1,0,0,0,0
12 June 2014 (Update),No,No,Yes,Yes,No,Wear,Drop,Mithril platebody with trim.,5200 coins,3120 coins,2080 coins,8.618 kg,2991 coins (info),8,40,1,0,0,0,0
12 July 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,I feel closer to the gods when I am wearing this.,40 coins,24 coins,16 coins,0.907 kg,473 coins (info),125,8427,1,0,0,0,0
6 July 2016 (Update),No,No,Yes,Yes,No,Wear,Drop,I feel the gods don't enjoy my materialistic obsessions.,50 coins,30 coins,20 coins,0.907 kg,6204414 coins (info),4,27,1,0,0,0,0
11 April 2019 (Update),No,No,Yes,Yes,No,Wear,Drop,I feel the gods don't enjoy my materialistic obsessions.,500 coins,300 coins,200 coins,0.907 kg,58737 coins (info),4,137,1,0,0,0,0
24 July 2006 (Update),Yes,No,No,Yes,No,Wear,Drop,Provides good protection.,1000 coins,600 coins,400 coins,4.535 kg,None,None,None,1,0,0,0,0
6 September 2018 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A powerful leather body.,500000 coins,300000 coins,200000 coins,6.803 kg,8000000 coins (info),10,-,1,0,0,0,0
19 July 2005 (Update),Yes,Mourning's End Part I,No,Yes,No,Wear,Drop,A thick heavy leather top.,150 coins,90 coins,60 coins,2.721 kg,None,None,None,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A mummy's body.,1 coin,0 coins,0 coins,0.5 kg,730523 coins (info),4,4,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,All for one!,1880 coins,1128 coins,752 coins,1.814 kg,125115 coins (info),4,23,1,0,0,0,0
26 January 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The upper half of a magical robe.,120000 coins,72000 coins,48000 coins,2.721 kg,71907 coins (info),125,2134,1,0,0,0,0
26 January 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The upper half of a dark magical robe.,120000 coins,72000 coins,48000 coins,2.721 kg,72168 coins (info),70,1592,1,0,0,0,0
11 January 2019 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The upper half of a dusky magical robe.,120000 coins,72000 coins,48000 coins,2.721 kg,238876 coins (info),70,59,1,0,0,0,0
4 August 2016 (Update),No,No,No,Yes,No,Wear,Drop,The upper half of a magical robe.,100 coins,None,None,2.721 kg,None,None,None,1,0,0,0,0
26 January 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The upper half of a bright magical robe.,120000 coins,72000 coins,48000 coins,2.721 kg,71458 coins (info),70,491,1,0,0,0,0
16 March 2022 (Update),Yes,No,No,Yes,No,Wear Dismantle,Drop,The upper half of a magical robe plucked from the shattered abyss.,120000 coins,72000 coins,48000 coins,2.721 kg,None,None,None,1,0,0,0,0
1 June 2017 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Provides excellent protection.,84000 coins,50400 coins,33600 coins,9.979 kg,820614 coins (info),70,711,1,0,0,0,0
8 May 2001 (Update),No,Goblin Diplomacy,No,No,No,Wear,Drop,Some orange armour designed to fit goblins.,40 coins,24 coins,16 coins,3.628 kg,None,None,None,1,0,0,0,0
21 February 2019 (Update),No,No,No,Yes,No,Wear,You will have to discover it again.,An ornate armoured top.,1 coin,0 coins,0 coins,11.339 kg,None,None,None,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A well made elegant ladies' pink blouse.,2000 coins,1200 coins,800 coins,0.1 kg,939 coins (info),4,30,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A well made elegant men's pink shirt.,2000 coins,1200 coins,800 coins,0.1 kg,2129 coins (info),4,21,1,0,0,0,0
17 July 2006 (Update),No,No,No,No,No,Wear,Drop,Some pink armour designed to fit goblins.,40 coins,24 coins,16 coins,3.628 kg,None,None,None,1,0,0,0,0
12 December 2002 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The ultimate in gnome design now in pink!,180 coins,108 coins,72 coins,0.907 kg,669 coins (info),150,53,1,0,0,0,0
15 August 2002 (Update),Yes,Sheep Herder,No,Yes,No,Wear,Drop,This should protect me from the plague I hope!,50 coins,30 coins,20 coins,2.721 kg,None,None,None,1,0,0,0,0
21 November 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,This should make me harder to spot in polar areas.,20 coins,12 coins,8 coins,0.226 kg,4850 coins (info),150,51,1,0,0,0,0
23 October 2002 (Update),No,Biohazard,Yes,Yes,No,Wear,Drop,Top half of a priest suit.,5 coins,3 coins,2 coins,1.814 kg,52 coins (info),150,399,1,0,0,0,0
1 August 2005 (Update),No,No,No,Yes,No,Wear,Drop,Very posh!,0 coins,0 coins,0 coins,2.721 kg,None,None,None,1,0,0,0,0
1 August 2005 (Update),No,No,No,Yes,No,Wear,Drop,Very posh!,0 coins,0 coins,0 coins,2.721 kg,None,None,None,1,0,0,0,0
20 September 2006 (Update),Yes,The Slug Menace,Yes,Yes,No,Wear,Drop,A Proselyte Temple Knight's armour.,12000 coins,7200 coins,4800 coins,8.618 kg,12899 coins (info),70,734,1,0,0,0,0
24 April 2014 (Update),Yes,No,No,Yes,No,Wear,Drop,Helps you when you're mining.,60 coins,36 coins,24 coins,1.36 kg,None,None,None,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A well made elegant ladies' purple blouse.,2000 coins,1200 coins,800 coins,1 kg,844 coins (info),4,12,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A well made elegant men's purple shirt.,2000 coins,1200 coins,800 coins,1 kg,1992 coins (info),4,23,1,0,0,0,0
17 July 2006 (Update),No,No,No,No,No,Wear,Drop,Some purple armour designed to fit goblins.,40 coins,24 coins,16 coins,3.628 kg,None,None,None,1,0,0,0,0
4 July 2006 (Update),Yes,No,No,Yes,No,Wear,Drop,...You can sail the seven seas...,100 coins,60 coins,40 coins,0.003 kg,None,None,None,1,0,0,0,0
29 June 2004 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Some fine werewolf clothing.,500 coins,300 coins,200 coins,0.907 kg,562 coins (info),150,2,1,0,0,0,0
8 September 2016 (Update),Yes,No,No,Yes,No,Wear,Drop,The garb of the Pyromancers.,800 coins,480 coins,320 coins,0.2 kg,None,None,None,1,0,0,0,0
26 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Lightweight body armour ideal for rangers.,12000 coins,7200 coins,4800 coins,3 kg,3939946 coins (info),4,316,1,0,0,0,0
29 March 2004 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Made from 100% real dragonhide.,11230 coins,6738 coins,4492 coins,6.803 kg,6100 coins (info),70,91476,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Made from 100% real dragonhide. With colourful trim!,11230 coins,6738 coins,4492 coins,6.803 kg,6300 coins (info),8,57,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Made from 100% real dragonhide. With colourful trim!,11230 coins,6738 coins,4492 coins,6.803 kg,6225 coins (info),8,28,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A well made elegant ladies' red blouse.,2000 coins,1200 coins,800 coins,1 kg,3523 coins (info),4,2,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A well made elegant men's red shirt.,2000 coins,1200 coins,800 coins,1 kg,18506 coins (info),4,17,1,0,0,0,0
17 July 2006 (Update),No,No,No,No,No,Wear,Drop,Some red armour designed to fit goblins.,40 coins,24 coins,16 coins,3.628 kg,None,None,None,1,0,0,0,0
4 July 2006 (Update),Yes,No,No,Yes,No,Wear,Drop,...You can sail the seven seas...,100 coins,60 coins,40 coins,0.003 kg,None,None,None,1,0,0,0,0
29 June 2004 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Some fine werewolf clothing.,500 coins,300 coins,200 coins,0.907 kg,742 coins (info),150,15,1,0,0,0,0
5 December 2005 (Update),Yes,Spirits of the Elid,No,Yes,No,Wear,Drop,This looks quite old.,1 coin,0 coins,0 coins,0.005 kg,None,None,None,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A dark power is woven into this robe top.,120000 coins,72000 coins,48000 coins,2.721 kg,110764 coins (info),70,89,1,0,0,0,0
23 March 2022 (Update),Yes,No,No,Yes,No,Wear,Drop,The perfect robe top for runecrafting.,350 coins,210 coins,140 coins,0.6 kg,None,None,None,1,0,0,0,0
1 August 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A sturdy body armour made from rock crab pieces.,65000 coins,39000 coins,26000 coins,9.979 kg,38026 coins (info),70,129,1,0,0,0,0
22 June 2005 (Update),Yes,No,No,Yes,No,Wear,Drop,Black banded leather armour a rogue's dream!,625 coins,375 coins,250 coins,0.453 kg,None,None,None,1,0,0,0,0
12 June 2014 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Feeling distinctly ornate.,5000 coins,3000 coins,2000 coins,1.36 kg,68565 coins (info),4,36,1,0,0,0,0
26 July 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A series of connected metal rings.,50000 coins,30000 coins,20000 coins,6.803 kg,29352 coins (info),70,25644,1,0,0,0,0
23 September 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection.,65000 coins,39000 coins,26000 coins,9.979 kg,38376 coins (info),70,62760,1,0,0,0,0
5 May 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Rune platebody with gold trim.,65000 coins,39000 coins,26000 coins,9.979 kg,70661 coins (info),8,208,1,0,0,0,0
11 April 2019 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection with a heraldic design.,65000 coins,39000 coins,26000 coins,9.979 kg,41651 coins (info),8,19,1,0,0,0,0
11 April 2019 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection with a heraldic design.,65000 coins,39000 coins,26000 coins,9.979 kg,40686 coins (info),8,11,1,0,0,0,0
11 April 2019 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection with a heraldic design.,65000 coins,39000 coins,26000 coins,9.979 kg,40186 coins (info),8,9,1,0,0,0,0
11 April 2019 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection with a heraldic design.,65000 coins,39000 coins,26000 coins,9.979 kg,39551 coins (info),8,8,1,0,0,0,0
11 April 2019 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection with a heraldic design.,65000 coins,39000 coins,26000 coins,9.979 kg,39441 coins (info),8,13,1,0,0,0,0
5 May 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Rune platebody with trim.,65000 coins,39000 coins,26000 coins,9.979 kg,40027 coins (info),8,133,1,0,0,0,0
6 July 2016 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A type of shirt worn by the Samurai.,7000 coins,4200 coins,2800 coins,2 kg,77154 coins (info),70,36,1,0,0,0,0
11 April 2019 (Update),No,No,Yes,Yes,No,Wear,Drop,A top worn by a sandwich lady.,500 coins,300 coins,200 coins,0.907 kg,5522 coins (info),4,54,1,0,0,0,0
18 December 2014 (Update),No,No,No,Yes,No,Wear,This gift was found under the Varrock tree. You can get another from Diango.,Apparently you can still fit down the chimney in this.,0 coins,0 coins,0 coins,0.3 kg,None,None,None,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Saradomin blessed dragonhide body armour.,13000 coins,7800 coins,5200 coins,6 kg,418099 coins (info),8,478,1,0,0,0,0
5 May 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Rune platebody in the colours of Saradomin.,65000 coins,39000 coins,26000 coins,9.979 kg,78583 coins (info),8,149,1,0,0,0,0
5 December 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Saradomin Vestments.,7000 coins,4200 coins,2800 coins,1.8 kg,221782 coins (info),8,97,1,0,0,0,0
29 March 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,I feel closer to the gods when I am wearing this.,40 coins,24 coins,16 coins,0.907 kg,547 coins (info),125,463,1,0,0,0,0
16 March 2022 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The shirt of a Shattered Relic Hunter.,15000 coins,9000 coins,6000 coins,0.906 kg,171067 coins (info),-,31,1,0,0,0,0
16 March 2022 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The shirt of a Shattered Relic Hunter.,15000 coins,9000 coins,6000 coins,0.907 kg,195970 coins (info),-,0,1,0,0,0,0
16 March 2022 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The shirt of a Shattered Relic Hunter.,15000 coins,9000 coins,6000 coins,0.907 kg,269426 coins (info),-,9,1,0,0,0,0
7 January 2016 (Update),Yes,No,No,Yes,No,Wear,You fought a Shayzien soldier for this. You'll have to repeat the fight for a replacement.,Dress like a tier 5 Shayzien soldier.,80 coins,48 coins,32 coins,9.979 kg,None,None,None,1,0,0,0,0
7 January 2016 (Update),Yes,No,No,Yes,No,Wear,You fought a Shayzien soldier for this. You'll have to repeat the fight for a replacement.,Dress like a tier 1 Shayzien soldier.,40 coins,24 coins,16 coins,9.979 kg,None,None,None,1,0,0,0,0
7 January 2016 (Update),Yes,No,No,Yes,No,Wear,You fought a Shayzien soldier for this. You'll have to repeat the fight for a replacement.,Dress like a tier 2 Shayzien soldier.,50 coins,30 coins,20 coins,9.979 kg,None,None,None,1,0,0,0,0
7 January 2016 (Update),Yes,No,No,Yes,No,Wear,You fought a Shayzien soldier for this. You'll have to repeat the fight for a replacement.,Dress like a tier 3 Shayzien soldier.,60 coins,36 coins,24 coins,9.979 kg,None,None,None,1,0,0,0,0
7 January 2016 (Update),Yes,No,No,Yes,No,Wear,You fought a Shayzien soldier for this. You'll have to repeat the fight for a replacement.,Dress like a tier 4 Shayzien soldier.,70 coins,42 coins,28 coins,9.979 kg,None,None,None,1,0,0,0,0
31 May 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Tiny!,450 coins,270 coins,180 coins,0.07 kg,871 coins (info),150,1,1,0,0,0,0
31 May 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Tiny!,625 coins,375 coins,250 coins,0.07 kg,1035 coins (info),150,20,1,0,0,0,0
31 May 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Tiny!,600 coins,360 coins,240 coins,0.07 kg,964 coins (info),150,21,1,0,0,0,0
6 February 2007 (Update),Yes,The Fremennik Isles,No,Yes,No,Wear,Are you sure? You can find another in King Sorvott's chest.,A jester's jangly top.,100 coins,60 coins,40 coins,6.803 kg,None,None,None,1,0,0,0,0
1 August 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The bones in this armour seem to vibrate with a magical quality...,45000 coins,27000 coins,18000 coins,4.989 kg,26551 coins (info),70,87,1,0,0,0,0
30 October 2006 (Update),No,No,No,Yes,No,Wear,You can get a replacement from Diango.,The shirt of a full body skeleton costume.,1 coin,0 coins,0 coins,1 kg,None,None,None,1,0,0,0,0
14 April 2003 (Update),Yes,The Tourist Trap,No,Yes,No,Wear,Drop,A filthy smelly flea infested shirt.,40 coins,24 coins,16 coins,0.907 kg,None,None,None,1,0,0,0,0
8 June 2022 (Update),Yes,No,No,Yes,No,Wear,Drop,Is that a dwarven name stitched into the collar?,380 coins,228 coins,152 coins,0.62 kg,None,None,None,1,0,0,0,0
9 August 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Made from 100% real snakeskin.,1250 coins,750 coins,500 coins,6.803 kg,601 coins (info),125,856,1,0,0,0,0
11 December 2017 (Update),No,No,No,Yes,No,Wear,You can get a replacement from Diango.,A poorly made fake snow imp body.,50 coins,None,None,0.907 kg,None,None,None,1,0,0,0,0
1 August 2005 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A constant reminder that I'm above a Dagannoth in the food chain.,7800 coins,4680 coins,3120 coins,6.803 kg,4086 coins (info),70,34,1,0,0,0,0
24 March 2021 (Update),Yes,No,No,Yes,No,Wear,Drop,This will help with fishing.,120 coins,72 coins,48 coins,1 kg,None,None,None,1,0,0,0,0
18 October 2004 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Provides good protection.,45000 coins,27000 coins,18000 coins,4.535 kg,27565 coins (info),70,876,1,0,0,0,0
24 October 2019 (Update),No,No,No,Yes,No,Wear,You can get a replacement from Diango.,A spooky robe cut from a bedsheet!,1 coin,0 coins,0 coins,0.9 kg,None,None,None,1,0,0,0,0
24 October 2019 (Update),No,No,No,Yes,No,Wear,You can get a replacement from Diango.,A spooky robe cut from a bedsheet!,1 coin,0 coins,0 coins,0.9 kg,None,None,None,1,0,0,0,0
6 September 2018 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A powerful platebody.,500000 coins,300000 coins,200000 coins,9.979 kg,10000000 coins (info),10,-,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,A series of connected metal rings.,750 coins,450 coins,300 coins,6.803 kg,270 coins (info),125,2934,1,0,0,0,0
4 January 2001 (Update),No,No,Yes,Yes,No,Wear,Drop,Provides excellent protection.,2000 coins,1200 coins,800 coins,9.979 kg,900 coins (info),125,71885,1,0,0,0,0
6 July 2016 (Update),No,No,Yes,Yes,No,Wear,Drop,Steel platebody with a gold trim.,2000 coins,1200 coins,800 coins,9.979 kg,28117 coins (info),125,151,1,0,0,0,0
6 July 2016 (Update),No,No,Yes,Yes,No,Wear,Drop,Steel platebody with a trim.,2000 coins,1200 coins,800 coins,9.979 kg,6688 coins (info),125,42,1,0,0,0,0
7 February 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A sea worthy shirt.,300 coins,180 coins,120 coins,1 kg,317 coins (info),150,4,1,0,0,0,0
7 February 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A sea worthy shirt.,300 coins,180 coins,120 coins,1 kg,692 coins (info),150,9,1,0,0,0,0
7 February 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A sea worthy shirt.,300 coins,180 coins,120 coins,1 kg,584 coins (info),150,11,1,0,0,0,0
7 February 2006 (Update),Yes,No,Yes,Yes,No,Wear,Drop,A sea worthy shirt.,300 coins,180 coins,120 coins,1 kg,692 coins (info),150,4,1,0,0,0,0
29 March 2004 (Update),No,No,Yes,Yes,No,Wear,Drop,Those studs should provide a bit more protection.,850 coins,510 coins,340 coins,5.443 kg,325 coins (info),125,780,1,0,0,0,0
20 February 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,Those studs should provide a bit more protection. Nice trim too!,850 coins,510 coins,340 coins,5.443 kg,31398 coins (info),8,44,1,0,0,0,0
20 February 2006 (Update),No,No,Yes,Yes,No,Wear,Drop,Those studs should provide a bit more protection. Nice trim too!,850 coins,510 coins,340 coins,5.443 kg,10696 coins (info),8,40,1,0,0,0,0
16 March 2022 (Update),Yes,None,No,Yes,No,Wear,Drop,A superior chest piece used by the Calamity Coven.,100 coins,None,None,0.907 kg,None,None,None,1,0,0,0,0
27 January 2021 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Keeps my chest protected.,120000 coins,72000 coins,48000 coins,4.535 kg,120699 coins (info),-,42,1,0,0,0,0
29 June 2004 (Update),Yes,No,Yes,Yes,No,Wear,Drop,Some fine werewolf clothing.,500 coins,300 coins,200 coins,0.907 kg,549 coins (info),150,1,1,0,0,0,0
9 May 2005 (Update),Yes,No,Yes,Yes,No,Wear Check,Drop (If you drop this item it will break. Are you sure you want to drop it?),Torag the Corrupted's platebody armour.,280000 coins,168000 coins,112000 coins,9.979 kg,205333 coins (info),15,493,1,0,0,0,0
5 January 2022 (Update),Yes,No,Yes,No,No,Wear,Drop,An ancient warrior's platebody.,600000 coins,360000 coins,240000 coins,9.5 kg,440451281 coins (info),-,29,1,0,0,0,0
6 January 2021 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The coat of a trailblazer relic hunter.,15000 coins,9000 coins,6000 coins,0.907 kg,17470 coins (info),5,4,1,0,0,0,0
6 January 2021 (Update),Yes,No,Yes,Yes,No,Wear,Drop,The coat of a trailblazer relic hunter.,15000 coins,9000 coins,6000 coins,0.907 kg,140321 coins (info),5,0,1,0,0,0,0
